specimen,relative_path,local_absolute_path,white_fraction,mean_intensity,row,col,within_specimen_selection_rank
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00021_C00045_X116280_Y40656.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00021_C00045_X116280_Y40656.jpg,0.0,225.956,21,45,2
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00031_C00038_X98192_Y60016.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00031_C00038_X98192_Y60016.jpg,0.0,229.835,31,38,3
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00040_C00032_X82688_Y77440.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00040_C00032_X82688_Y77440.jpg,0.0,224.695,40,32,4
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00038_C00007_X18088_Y73568.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00038_C00007_X18088_Y73568.jpg,2e-05,232.784,38,7,5
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00005_C00004_X10336_Y9680.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00005_C00004_X10336_Y9680.jpg,0.000264,235.77,5,4,6
Sample_015 - 2026-08-04 16.23.02,Sample_015 - 2026-08-04 16.23.02/Sample_015 - 2026-08-04 16.23.02_L0_R00049_C00047_X121448_Y94864.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_015 - 2026-08-04 16.23.02\Sample_015 - 2026-08-04 16.23.02_L0_R00049_C00047_X121448_Y94864.jpg,0.45402,244.599,49,47,7
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00000_C00012_X31008_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00000_C00012_X31008_Y0.jpg,0.0,236.15,0,12,0
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00009_C00031_X80104_Y17424.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00009_C00031_X80104_Y17424.jpg,0.0,218.892,9,31,1
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00015_C00036_X93024_Y29040.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00015_C00036_X93024_Y29040.jpg,0.0,172.024,15,36,2
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00021_C00036_X93024_Y40656.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00021_C00036_X93024_Y40656.jpg,0.0,231.875,21,36,3
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00027_C00043_X111112_Y52272.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00027_C00043_X111112_Y52272.jpg,0.0,224.462,27,43,4
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00034_C00006_X15504_Y65824.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00034_C00006_X15504_Y65824.jpg,0.0,228.383,34,6,5
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00036_C00046_X118864_Y69696.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00036_C00046_X118864_Y69696.jpg,4.1e-05,232.482,36,46,6
Sample_018 - 2026-08-04 16.27.41,Sample_018 - 2026-08-04 16.27.41/Sample_018 - 2026-08-04 16.27.41_L0_R00039_C00050_X129200_Y75504.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_018 - 2026-08-04 16.27.41\Sample_018 - 2026-08-04 16.27.41_L0_R00039_C00050_X129200_Y75504.jpg,0.857178,252.374,39,50,7
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00000_C00004_X10336_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00000_C00004_X10336_Y0.jpg,0.0,234.541,0,4,0
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00006_C00023_X59432_Y11616.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00006_C00023_X59432_Y11616.jpg,0.0,216.418,6,23,1
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00012_C00033_X85272_Y23232.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00012_C00033_X85272_Y23232.jpg,0.0,226.498,12,33,2
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00018_C00030_X77520_Y34848.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00018_C00030_X77520_Y34848.jpg,0.0,226.056,18,30,3
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00024_C00016_X41344_Y46464.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00024_C00016_X41344_Y46464.jpg,0.0,217.466,24,16,4
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00030_C00028_X72352_Y58080.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00030_C00028_X72352_Y58080.jpg,0.0,231.236,30,28,5
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00005_C00007_X18088_Y9680.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00005_C00007_X18088_Y9680.jpg,4.1e-05,234.812,5,7,6
Sample_019 - 2026-08-04 16.29.36,Sample_019 - 2026-08-04 16.29.36/Sample_019 - 2026-08-04 16.29.36_L0_R00036_C00041_X105944_Y69696.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_019 - 2026-08-04 16.29.36\Sample_019 - 2026-08-04 16.29.36_L0_R00036_C00041_X105944_Y69696.jpg,0.457275,244.262,36,41,7
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00000_C00000_X0_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00000_C00000_X0_Y0.jpg,0.0,235.173,0,0,0
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00007_C00001_X2584_Y13552.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00007_C00001_X2584_Y13552.jpg,0.0,235.228,7,1,1
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00013_C00015_X38760_Y25168.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00013_C00015_X38760_Y25168.jpg,0.0,212.123,13,15,2
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00019_C00023_X59432_Y36784.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00019_C00023_X59432_Y36784.jpg,0.0,218.155,19,23,3
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00025_C00021_X54264_Y48400.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00025_C00021_X54264_Y48400.jpg,0.0,198.434,25,21,4
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00031_C00032_X82688_Y60016.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00031_C00032_X82688_Y60016.jpg,0.0,206.21,31,32,5
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00032_C00004_X10336_Y61952.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00032_C00004_X10336_Y61952.jpg,4.1e-05,235.139,32,4,6
Sample_021 - 2026-08-04 16.32.19,Sample_021 - 2026-08-04 16.32.19/Sample_021 - 2026-08-04 16.32.19_L0_R00038_C00043_X111112_Y73568.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_021 - 2026-08-04 16.32.19\Sample_021 - 2026-08-04 16.32.19_L0_R00038_C00043_X111112_Y73568.jpg,0.991882,254.842,38,43,7
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00000_C00000_X0_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00000_C00000_X0_Y0.jpg,0.0,236.313,0,0,0
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00005_C00044_X113696_Y9680.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00005_C00044_X113696_Y9680.jpg,0.0,205.493,5,44,1
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00011_C00001_X2584_Y21296.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00011_C00001_X2584_Y21296.jpg,0.0,233.507,11,1,2
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00016_C00001_X2584_Y30976.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00016_C00001_X2584_Y30976.jpg,0.0,230.463,16,1,3
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00021_C00001_X2584_Y40656.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00021_C00001_X2584_Y40656.jpg,0.0,191.611,21,1,4
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00027_C00001_X2584_Y52272.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00027_C00001_X2584_Y52272.jpg,0.0,236.114,27,1,5
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00028_C00019_X49096_Y54208.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00028_C00019_X49096_Y54208.jpg,6.1e-05,230.204,28,19,6
Sample_022 - 2026-08-04 16.33.44,Sample_022 - 2026-08-04 16.33.44/Sample_022 - 2026-08-04 16.33.44_L0_R00030_C00053_X136952_Y58080.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_022 - 2026-08-04 16.33.44\Sample_022 - 2026-08-04 16.33.44_L0_R00030_C00053_X136952_Y58080.jpg,0.528768,246.046,30,53,7
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00000_C00050_X129200_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00000_C00050_X129200_Y0.jpg,0.0,0.528,0,50,0
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00013_C00033_X85272_Y25168.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00013_C00033_X85272_Y25168.jpg,0.0,228.86,13,33,1
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00022_C00024_X62016_Y42592.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00022_C00024_X62016_Y42592.jpg,0.0,231.926,22,24,2
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00032_C00014_X36176_Y61952.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00032_C00014_X36176_Y61952.jpg,0.0,180.19,32,14,3
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00041_C00029_X74936_Y79376.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00041_C00029_X74936_Y79376.jpg,0.0,231.297,41,29,4
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00006_C00047_X121448_Y11616.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00006_C00047_X121448_Y11616.jpg,2e-05,234.615,6,47,5
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00002_C00043_X111112_Y3872.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00002_C00043_X111112_Y3872.jpg,0.000142,234.624,2,43,6
Sample_024 - 2026-08-04 16.36.57,Sample_024 - 2026-08-04 16.36.57/Sample_024 - 2026-08-04 16.36.57_L0_R00052_C00052_X134368_Y100672.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_024 - 2026-08-04 16.36.57\Sample_024 - 2026-08-04 16.36.57_L0_R00052_C00052_X134368_Y100672.jpg,0.994303,253.847,52,52,7
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00000_C00027_X69768_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00000_C00027_X69768_Y0.jpg,0.0,131.581,0,27,0
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00011_C00047_X121448_Y21296.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00011_C00047_X121448_Y21296.jpg,0.0,132.848,11,47,1
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00020_C00027_X69768_Y38720.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00020_C00027_X69768_Y38720.jpg,0.0,210.256,20,27,2
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00029_C00001_X2584_Y56144.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00029_C00001_X2584_Y56144.jpg,0.0,234.939,29,1,3
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00037_C00055_X142120_Y71632.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00037_C00055_X142120_Y71632.jpg,0.0,223.64,37,55,4
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00046_C00062_X160208_Y89056.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00046_C00062_X160208_Y89056.jpg,0.0,234.842,46,62,5
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00020_C00054_X139536_Y38720.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00020_C00054_X139536_Y38720.jpg,0.000102,217.993,20,54,6
Sample_026 - 2026-08-04 16.41.55,Sample_026 - 2026-08-04 16.41.55/Sample_026 - 2026-08-04 16.41.55_L0_R00000_C00002_X5168_Y0.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_026 - 2026-08-04 16.41.55\Sample_026 - 2026-08-04 16.41.55_L0_R00000_C00002_X5168_Y0.jpg,0.988892,254.701,0,2,7
Sample_027 - 2026-08-04 16.45.07,Sample_027 - 2026-08-04 16.45.07/Sample_027 - 2026-08-04 16.45.07_L0_R00002_C00000_X0_Y3872.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_027 - 2026-08-04 16.45.07\Sample_027 - 2026-08-04 16.45.07_L0_R00002_C00000_X0_Y3872.jpg,0.0,234.969,2,0,0
Sample_027 - 2026-08-04 16.45.07,Sample_027 - 2026-08-04 16.45.07/Sample_027 - 2026-08-04 16.45.07_L0_R00014_C00035_X90440_Y27104.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_027 - 2026-08-04 16.45.07\Sample_027 - 2026-08-04 16.45.07_L0_R00014_C00035_X90440_Y27104.jpg,0.0,230.602,14,35,1
Sample_027 - 2026-08-04 16.45.07,Sample_027 - 2026-08-04 16.45.07/Sample_027 - 2026-08-04 16.45.07_L0_R00023_C00047_X121448_Y44528.jpg,E:\PHD\PhdData\Patologi afd. - Aalborg\40x Input tiles for CVAT\Sample_027 - 2026-08-04 16.45.07\Sample_027 - 2026-08-04 16.45.07_L0_R00023_C00047_X121448_Y44528.jpg,0.0,226.01,23,47,2
