specimen,relative_path,extension,size_bytes,is_annotated_training_image
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00015_X38760_Y0.jpg,.jpg,942064,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00016_X41344_Y0.jpg,.jpg,946386,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00017_X43928_Y0.jpg,.jpg,943393,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00018_X46512_Y0.jpg,.jpg,946109,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00019_X49096_Y0.jpg,.jpg,945280,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00020_X51680_Y0.jpg,.jpg,940904,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00021_X54264_Y0.jpg,.jpg,942606,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00022_X56848_Y0.jpg,.jpg,941575,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00023_X59432_Y0.jpg,.jpg,940926,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00024_X62016_Y0.jpg,.jpg,943221,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00025_X64600_Y0.jpg,.jpg,938745,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00026_X67184_Y0.jpg,.jpg,938647,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00027_X69768_Y0.jpg,.jpg,935692,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00028_X72352_Y0.jpg,.jpg,938375,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00029_X74936_Y0.jpg,.jpg,939012,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00030_X77520_Y0.jpg,.jpg,935695,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00031_X80104_Y0.jpg,.jpg,936258,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00032_X82688_Y0.jpg,.jpg,937251,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00033_X85272_Y0.jpg,.jpg,934595,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00034_X87856_Y0.jpg,.jpg,935164,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00035_X90440_Y0.jpg,.jpg,937147,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00036_X93024_Y0.jpg,.jpg,936034,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00037_X95608_Y0.jpg,.jpg,936316,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00000_C00038_X98192_Y0.jpg,.jpg,649364,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00000_X0_Y1936.jpg,.jpg,954603,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00001_X2584_Y1936.jpg,.jpg,948285,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00002_X5168_Y1936.jpg,.jpg,946383,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00003_X7752_Y1936.jpg,.jpg,950900,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00004_X10336_Y1936.jpg,.jpg,946447,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00005_X12920_Y1936.jpg,.jpg,942578,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00006_X15504_Y1936.jpg,.jpg,949512,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00007_X18088_Y1936.jpg,.jpg,946810,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00008_X20672_Y1936.jpg,.jpg,944195,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00009_X23256_Y1936.jpg,.jpg,942682,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00010_X25840_Y1936.jpg,.jpg,939278,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00011_X28424_Y1936.jpg,.jpg,934715,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00012_X31008_Y1936.jpg,.jpg,935228,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00013_X33592_Y1936.jpg,.jpg,934960,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00014_X36176_Y1936.jpg,.jpg,937557,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00015_X38760_Y1936.jpg,.jpg,937151,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00016_X41344_Y1936.jpg,.jpg,940347,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00017_X43928_Y1936.jpg,.jpg,944784,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00018_X46512_Y1936.jpg,.jpg,945301,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00019_X49096_Y1936.jpg,.jpg,938097,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00020_X51680_Y1936.jpg,.jpg,937747,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00021_X54264_Y1936.jpg,.jpg,947081,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00022_X56848_Y1936.jpg,.jpg,950496,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00023_X59432_Y1936.jpg,.jpg,940478,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00024_X62016_Y1936.jpg,.jpg,934228,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00025_X64600_Y1936.jpg,.jpg,935642,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00026_X67184_Y1936.jpg,.jpg,938781,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00027_X69768_Y1936.jpg,.jpg,932747,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00028_X72352_Y1936.jpg,.jpg,933053,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00029_X74936_Y1936.jpg,.jpg,942952,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00030_X77520_Y1936.jpg,.jpg,935832,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00031_X80104_Y1936.jpg,.jpg,933812,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00032_X82688_Y1936.jpg,.jpg,936061,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00033_X85272_Y1936.jpg,.jpg,932657,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00034_X87856_Y1936.jpg,.jpg,934601,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00035_X90440_Y1936.jpg,.jpg,935091,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00036_X93024_Y1936.jpg,.jpg,935026,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00037_X95608_Y1936.jpg,.jpg,932872,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00001_C00038_X98192_Y1936.jpg,.jpg,647983,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00000_X0_Y3872.jpg,.jpg,957847,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00001_X2584_Y3872.jpg,.jpg,953450,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00002_X5168_Y3872.jpg,.jpg,960272,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00003_X7752_Y3872.jpg,.jpg,953785,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00004_X10336_Y3872.jpg,.jpg,950315,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00005_X12920_Y3872.jpg,.jpg,939173,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00006_X15504_Y3872.jpg,.jpg,936860,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00007_X18088_Y3872.jpg,.jpg,935910,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00008_X20672_Y3872.jpg,.jpg,936410,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00009_X23256_Y3872.jpg,.jpg,950961,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00010_X25840_Y3872.jpg,.jpg,936630,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00011_X28424_Y3872.jpg,.jpg,938464,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00012_X31008_Y3872.jpg,.jpg,940890,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00013_X33592_Y3872.jpg,.jpg,940041,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00014_X36176_Y3872.jpg,.jpg,937143,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00015_X38760_Y3872.jpg,.jpg,954265,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00016_X41344_Y3872.jpg,.jpg,956999,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00017_X43928_Y3872.jpg,.jpg,983604,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00018_X46512_Y3872.jpg,.jpg,1023970,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00019_X49096_Y3872.jpg,.jpg,1014576,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00020_X51680_Y3872.jpg,.jpg,1011988,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00021_X54264_Y3872.jpg,.jpg,1012595,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00022_X56848_Y3872.jpg,.jpg,1105714,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00023_X59432_Y3872.jpg,.jpg,1039433,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00024_X62016_Y3872.jpg,.jpg,981745,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00025_X64600_Y3872.jpg,.jpg,957078,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00026_X67184_Y3872.jpg,.jpg,941436,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00027_X69768_Y3872.jpg,.jpg,935782,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00028_X72352_Y3872.jpg,.jpg,936032,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00029_X74936_Y3872.jpg,.jpg,935797,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00030_X77520_Y3872.jpg,.jpg,1007215,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00031_X80104_Y3872.jpg,.jpg,934970,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00032_X82688_Y3872.jpg,.jpg,934711,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00033_X85272_Y3872.jpg,.jpg,934700,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00034_X87856_Y3872.jpg,.jpg,933497,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00035_X90440_Y3872.jpg,.jpg,934436,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00036_X93024_Y3872.jpg,.jpg,933535,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00037_X95608_Y3872.jpg,.jpg,934424,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00002_C00038_X98192_Y3872.jpg,.jpg,648238,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00000_X0_Y5808.jpg,.jpg,948267,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00001_X2584_Y5808.jpg,.jpg,959607,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00002_X5168_Y5808.jpg,.jpg,960350,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00003_X7752_Y5808.jpg,.jpg,951993,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00004_X10336_Y5808.jpg,.jpg,943647,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00005_X12920_Y5808.jpg,.jpg,937317,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00006_X15504_Y5808.jpg,.jpg,934356,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00007_X18088_Y5808.jpg,.jpg,932812,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00008_X20672_Y5808.jpg,.jpg,933853,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00009_X23256_Y5808.jpg,.jpg,934685,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00010_X25840_Y5808.jpg,.jpg,933467,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00011_X28424_Y5808.jpg,.jpg,945608,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00012_X31008_Y5808.jpg,.jpg,990091,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00013_X33592_Y5808.jpg,.jpg,1083759,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00014_X36176_Y5808.jpg,.jpg,1234467,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00015_X38760_Y5808.jpg,.jpg,1249090,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00016_X41344_Y5808.jpg,.jpg,1181355,1
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00017_X43928_Y5808.jpg,.jpg,1052645,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00018_X46512_Y5808.jpg,.jpg,1086020,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00019_X49096_Y5808.jpg,.jpg,1090602,1
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00020_X51680_Y5808.jpg,.jpg,1134646,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00021_X54264_Y5808.jpg,.jpg,1150171,1
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00022_X56848_Y5808.jpg,.jpg,1171333,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00023_X59432_Y5808.jpg,.jpg,1117902,1
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00024_X62016_Y5808.jpg,.jpg,1062781,0
Sample_013 - 2026-08-04 16.19.56,Sample_013 - 2026-08-04 16.19.56/Sample_013 - 2026-08-04 16.19.56_L0_R00003_C00025_X64600_Y5808.jpg,.jpg,1062344,0
